City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
397,Yaring,TH,78.55,6.8662,101.3689,
398,Colac,AU,72.84,-38.3333,143.5833,
399,Nara,JP,63.77,34.6851,135.8049,
401,Tubmanburg,LR,72.79,6.8708,-10.8172,
402,Kalanaur,IN,72.68,28.8333,76.4,
403,Lewiston,US,68.52,44.1003,-70.2148,
404,Pavilosta,LV,49.91,56.8879,21.1859,
405,Praia Da Vitoria,PT,64.76,38.7333,-27.0667,
406,Rozzano,IT,48.2,45.3819,9.1606,
407,Porgera,PG,55.13,-5.4667,143.2,
408,Puerto Del Rosario,ES,71.35,28.5004,-13.8627,
409,Bure,ET,53.24,10.7,37.0667,
410,Itoman,JP,77.02,26.1247,127.6694,
411,Buta,CD,68.16,2.7858,24.73,
412,Lata,PT,54.07,40.1629,-8.3327,
413,Praya,CV,75.74,14.9215,-23.5087,
415,Porto Nacional,BR,78.8,-10.7081,-48.4172,
416,Sorkjosen,NO,39.2,69.8,20.9333,
417,Dalby,AU,75.97,-27.1833,151.2667,
419,Yuli,NG,72.75,9.6989,10.2744,
420,Zhangjiakou,CN,39.85,40.81,114.8794,
421,Moron,AR,71.02,-34.6534,-58.6198,
422,Ostersund,SE,37.62,63.1792,14.6357,
423,Saint-Francois,FR,51.24,46.4154,3.9054,
424,Saurimo,AO,64.11,-9.6608,20.3916,
426,Mangrol,IN,77.16,21.1167,70.1167,
427,Pangkalanbuun,ID,78.78,-2.6833,111.6167,
429,Samana,DO,73.49,19.2056,-69.3369,
430,Marystown,CA,54.54,47.1666,-55.1483,
431,Lubumbashi,CD,63.84,-11.6609,27.4794,
437,Penzance,GB,56.08,50.1186,-5.5371,
438,Tamandare,BR,76.08,-8.7597,-35.1047,
441,Bloemfontein,ZA,56.68,-29.1211,26.214,
442,Ohafia,NG,72.28,5.6167,7.8333,
444,Padang,ID,78.85,-0.9492,100.3543,
445,Ayagoz,KZ,37.51,47.9714,80.4392,
449,Taga,RO,41.32,46.95,24.05,
450,Chapais,CA,47.98,49.7834,-74.8492,
451,Florence,IT,53.1,43.7667,11.25,
452,Pingliang,CN,49.71,35.5392,106.6861,
453,Geraldton,AU,72.01,-28.7667,114.6,
454,Sabla,NG,71.98,12.7525,4.7077,
457,Rincon,US,71.85,32.296,-81.2354,
458,Alta Floresta,BR,75.96,-9.8756,-56.0861,
460,Havelock,US,71.58,34.8791,-76.9013,
461,Dehloran,IR,64.38,32.6941,47.2679,
462,Kathmandu,NP,57.42,27.7167,85.3167,
463,Port Lincoln,AU,74.1,-34.7333,135.8667,
466,Yoichi,JP,48.47,43.2039,140.7703,
467,Nelson Bay,AU,73.45,-32.7167,152.15,
468,Berbera,SO,77.29,10.4396,45.0143,
469,Biltine,TD,76.73,14.5333,20.9167,
471,Andrews,US,66.6,32.3187,-102.5457,
472,Bennington,US,70.25,42.8781,-73.1968,
474,Orange Cove,US,64.63,36.6244,-119.3137,
476,Sao Felix Do Xingu,BR,72.21,-6.6447,-51.995,
477,Chake Chake,TZ,73.89,-5.2459,39.7666,
478,Kingsville,US,79.48,27.5159,-97.8561,
479,Umm Lajj,SA,74.03,25.0213,37.2685,
480,Pokhara,NP,64.47,28.2333,83.9833,
481,Galle,LK,78.91,6.0367,80.217,
482,Salinopolis,BR,79.03,-0.6136,-47.3561,
483,Vytegra,RU,36.09,61.0064,36.4481,
484,Codrington,AU,71.69,-38.2667,141.9667,
486,Progreso,MX,79.11,21.2833,-89.6667,
487,Coquimbo,CL,56.93,-29.9533,-71.3436,
488,Roebourne,AU,78.53,-20.7833,117.1333,
489,Touros,BR,78.3,-5.1989,-35.4608,
490,Robertsport,LR,77.22,6.7533,-11.3686,
492,Saint-Augustin,CA,44.92,51.226,-58.6502,
493,Nadvoitsy,RU,38.71,63.8667,34.3167,
495,Lagoa,PT,64.62,39.05,-27.9833,
498,Bocas Del Toro,PA,79.36,9.3333,-82.25,
499,Caluquembe,AO,59.34,-13.7833,14.6833,
500,Machico,PT,67.71,32.7,-16.7667,
503,Lompoc,US,59.77,34.6391,-120.4579,
505,Borova,UA,43.34,50.1763,30.1043,
508,Cayenne,GF,77.04,4.9333,-52.3333,
509,Golden,US,44.29,39.7555,-105.2211,
510,Lazo,RU,45.21,43.3817,133.9014,
511,Uppsala,SE,45.84,60.0,17.75,
513,Tres Arroyos,AR,64.89,-38.3739,-60.2798,
514,Barwadih,IN,66.6,23.8333,84.1167,
515,Pueblo Nuevo,MX,50.4,23.3833,-105.3833,
517,Baijiantan,CN,47.08,45.6333,85.1833,
518,Price,US,45.66,39.5994,-110.8107,
519,Urumqi,CN,38.35,43.801,87.6005,
521,Belmonte,BR,72.03,-15.8631,-38.8828,
523,Baykalsk,RU,40.08,51.5058,104.1469,
524,Galanta,SK,53.98,48.19,17.7275,
525,Lakes Entrance,AU,75.16,-37.8811,147.981,
526,Basoko,CD,68.38,1.2391,23.616,
527,Svetlogorsk,BY,41.85,52.6333,29.7333,
529,Rawson,AR,78.01,-43.3002,-65.1023,
530,Jasper,US,59.05,37.2001,-94.3502,
531,Hauterive,FR,50.76,46.0901,3.4459,
532,Denia,ES,65.75,38.8408,0.1057,
533,Portobelo,PA,78.12,9.55,-79.65,
534,Salalah,OM,75.29,17.0151,54.0924,
535,Collie,AU,61.93,-33.3667,116.15,
536,Matara,LK,77.92,5.9485,80.5353,
538,Erenhot,CN,35.04,43.6475,111.9767,
539,Kabare,CD,59.54,-2.4683,28.8242,
540,Coahuayana,MX,74.8,18.7333,-103.6833,
543,Morgan City,US,75.0,29.6994,-91.2068,
546,Wakiso,UG,67.55,0.4044,32.4594,
549,Avera,US,69.85,33.194,-82.5271,
550,Mizan Teferi,ET,60.67,6.9833,35.5833,
553,Serra Talhada,BR,72.86,-7.9919,-38.2983,
555,San Rafael Del Sur,NI,77.97,11.8485,-86.4384,
556,Westport,US,68.59,41.1415,-73.3579,
558,Aguilas,ES,65.05,37.4063,-1.5829,
562,Kaitong,CN,40.33,44.8135,123.15,
